name,datetime (utc timezone),fan_count
pakwan.bnk48official,2018-10-01 02:00:00,47167
bnk48official.kheng,2018-10-01 02:00:00,45060
bnk48official.myyu,2018-10-01 02:00:00,43909
bnk48official.stang,2018-10-01 02:00:00,42663
bnk48official.oom,2018-10-01 02:00:00,41530
bnk48official.niky,2018-10-01 02:00:00,40898
bnk48official.maira,2018-10-01 02:00:00,40803
bnk48official.aom,2018-10-01 02:00:00,40279
bnk48official.faii,2018-10-01 02:00:00,39167
bnk48official.deenee,2018-10-01 02:00:00,30745
bnk48official.khamin,2018-10-01 02:00:00,28836
bnk48official.fifa,2018-10-01 02:00:00,26643
bnk48official.nine,2018-10-01 02:00:00,25833
bnk48official.cherprang,2018-10-01 01:00:00,548553
bnk48official.pun,2018-10-01 01:00:00,547142
bnk48official.orn,2018-10-01 01:00:00,346825
bnk48official.jennis,2018-10-01 01:00:00,274480
bnk48official.noey,2018-10-01 01:00:00,273548
bnk48official.mobile,2018-10-01 01:00:00,270711
bnk48official.music,2018-10-01 01:00:00,262117
bnk48official.kaimook,2018-10-01 01:00:00,247842
bnk48official.kaew,2018-10-01 01:00:00,216456
bnk48official.namneung,2018-10-01 01:00:00,176698
bnk48official.mewnich,2018-10-01 01:00:00,176134
bnk48official.tarwaan,2018-10-01 01:00:00,169448
bnk48official.pupe,2018-10-01 01:00:00,167597
bnk48official.satchan,2018-10-01 01:00:00,163503
bnk48official.natherine,2018-10-01 01:00:00,160197
bnk48official.jan,2018-10-01 01:00:00,151547
bnk48official.namsai,2018-10-01 01:00:00,134015
bnk48official.jane,2018-10-01 01:00:00,124105
bnk48official.fond,2018-10-01 01:00:00,111309
bnk48official.ratah,2018-10-01 01:00:00,110370
bnk48official.june,2018-10-01 01:00:00,110203
bnk48official.mind,2018-10-01 01:00:00,106698
bnk48official.miori,2018-10-01 01:00:00,105190
bnk48official.korn,2018-10-01 01:00:00,104486
bnk48official.maysa,2018-10-01 01:00:00,98671
bnk48official.wee,2018-10-01 01:00:00,89335
bnk48official.nink,2018-10-01 01:00:00,84468
bnk48official.jaa,2018-10-01 01:00:00,84054
bnk48official.piam,2018-10-01 01:00:00,80651
bnk48official.jib,2018-10-01 01:00:00,79818
bnk48official.phukkhom,2018-10-01 01:00:00,76341
bnk48official.izutarina,2018-10-01 01:00:00,75651
bnk48official.new,2018-10-01 01:00:00,68432
bnk48official.bamboo,2018-10-01 01:00:00,65987
bnk48official.minmin,2018-10-01 01:00:00,58026
bnk48official.kate,2018-10-01 01:00:00,56886
bnk48official.cake,2018-10-01 01:00:00,56528
bnk48official.view,2018-10-01 01:00:00,51281
bnk48official.panda,2018-10-01 01:00:00,49646
bnk48official.gygee,2018-10-01 01:00:00,47948
pakwan.bnk48official,2018-10-01 01:00:00,47161
bnk48official.kheng,2018-10-01 01:00:00,45054
bnk48official.myyu,2018-10-01 01:00:00,43901
bnk48official.stang,2018-10-01 01:00:00,42662
bnk48official.oom,2018-10-01 01:00:00,41529
bnk48official.niky,2018-10-01 01:00:00,40895
bnk48official.maira,2018-10-01 01:00:00,40795
bnk48official.aom,2018-10-01 01:00:00,40274
bnk48official.faii,2018-10-01 01:00:00,39156
bnk48official.deenee,2018-10-01 01:00:00,30744
bnk48official.khamin,2018-10-01 01:00:00,28836
bnk48official.fifa,2018-10-01 01:00:00,26641
bnk48official.nine,2018-10-01 01:00:00,25832
bnk48official.cherprang,2018-10-01 00:00:00,548519
bnk48official.pun,2018-10-01 00:00:00,547122
bnk48official.orn,2018-10-01 00:00:00,346803
bnk48official.jennis,2018-10-01 00:00:00,274444
bnk48official.noey,2018-10-01 00:00:00,273535
bnk48official.mobile,2018-10-01 00:00:00,270697
bnk48official.music,2018-10-01 00:00:00,262099
bnk48official.kaimook,2018-10-01 00:00:00,247825
bnk48official.kaew,2018-10-01 00:00:00,216432
bnk48official.namneung,2018-10-01 00:00:00,176690
