name,datetime (utc timezone),followed
nine.bnk48official,2018-10-01 03:00:00,95067
pun.bnk48official,2018-10-01 02:00:00,711735
cherprang.bnk48official,2018-10-01 02:00:00,556903
orn.bnk48official,2018-10-01 02:00:00,506647
jennis.bnk48official,2018-10-01 02:00:00,454811
mobile.bnk48official,2018-10-01 02:00:00,449158
music.bnk48official,2018-10-01 02:00:00,432897
noey.bnk48office,2018-10-01 02:00:00,399821
kaimook.bnk48official,2018-10-01 02:00:00,376014
kaew.bnk48official,2018-10-01 02:00:00,343482
jane.bnk48official,2018-10-01 02:00:00,320699
tarwaan.bnk48office,2018-10-01 02:00:00,305326
namneung.bnk48official,2018-10-01 02:00:00,298236
mewnich.bnk48official,2018-10-01 02:00:00,293019
satchan.bnk48official,2018-10-01 02:00:00,289870
pupe.bnk48official,2018-10-01 02:00:00,288360
namsai.bnk48official,2018-10-01 02:00:00,271342
june.bnk48office,2018-10-01 02:00:00,270193
miori.bnk48official,2018-10-01 02:00:00,244631
fond.bnk48office,2018-10-01 02:00:00,233408
jaa.bnk48official,2018-10-01 02:00:00,228328
rinaizuta.bnk48official,2018-10-01 02:00:00,225451
maysa.bnk48official,2018-10-01 02:00:00,218885
mind.bnk48official,2018-10-01 02:00:00,217818
korn.bnk48official,2018-10-01 02:00:00,210268
ratah.bnk48official,2018-10-01 02:00:00,205473
nink.bnk48official,2018-10-01 02:00:00,196478
wee.bnk48official,2018-10-01 02:00:00,191586
kate.bnk48official,2018-10-01 02:00:00,186042
jib.bnk48office,2018-10-01 02:00:00,179749
piam.bnk48office,2018-10-01 02:00:00,175722
bamboo.bnk48office,2018-10-01 02:00:00,161257
phukkhom.bnk48office,2018-10-01 02:00:00,156297
myyu.bnk48official,2018-10-01 02:00:00,149982
cake.bnk48official,2018-10-01 02:00:00,147140
new.bnk48official,2018-10-01 02:00:00,145238
view.bnk48official,2018-10-01 02:00:00,136843
natherine.bnk48official,2018-10-01 02:00:00,132624
minmin.bnk48office,2018-10-01 02:00:00,131227
aom.bnk48official,2018-10-01 02:00:00,131017
gygee.bnk48official,2018-10-01 02:00:00,130390
niky.bnk48office,2018-10-01 02:00:00,129916
pakwan.bnk48office,2018-10-01 02:00:00,129050
kheng.bnk48official,2018-10-01 02:00:00,129032
panda.bnk48official,2018-10-01 02:00:00,122817
khamin.bnk48official,2018-10-01 02:00:00,119879
stang.bnk48office,2018-10-01 02:00:00,118488
faii.bnk48official,2018-10-01 02:00:00,116947
deenee.bnk48official,2018-10-01 02:00:00,115378
oom.bnk48official,2018-10-01 02:00:00,113000
maira.bnk48official,2018-10-01 02:00:00,109811
fifa.bnk48official,2018-10-01 02:00:00,106991
nine.bnk48official,2018-10-01 02:00:00,95023
pun.bnk48official,2018-10-01 01:00:00,711652
cherprang.bnk48official,2018-10-01 01:00:00,556840
orn.bnk48official,2018-10-01 01:00:00,506565
jennis.bnk48official,2018-10-01 01:00:00,454754
mobile.bnk48official,2018-10-01 01:00:00,449097
music.bnk48official,2018-10-01 01:00:00,432843
noey.bnk48office,2018-10-01 01:00:00,399733
kaimook.bnk48official,2018-10-01 01:00:00,375963
kaew.bnk48official,2018-10-01 01:00:00,343438
jane.bnk48official,2018-10-01 01:00:00,320621
tarwaan.bnk48office,2018-10-01 01:00:00,305282
namneung.bnk48official,2018-10-01 01:00:00,298181
mewnich.bnk48official,2018-10-01 01:00:00,292949
satchan.bnk48official,2018-10-01 01:00:00,289848
pupe.bnk48official,2018-10-01 01:00:00,288314
namsai.bnk48official,2018-10-01 01:00:00,271310
june.bnk48office,2018-10-01 01:00:00,270137
miori.bnk48official,2018-10-01 01:00:00,244568
fond.bnk48office,2018-10-01 01:00:00,233349
jaa.bnk48official,2018-10-01 01:00:00,228297
rinaizuta.bnk48official,2018-10-01 01:00:00,225418
maysa.bnk48official,2018-10-01 01:00:00,218850
mind.bnk48official,2018-10-01 01:00:00,217797
korn.bnk48official,2018-10-01 01:00:00,210242
ratah.bnk48official,2018-10-01 01:00:00,205429
nink.bnk48official,2018-10-01 01:00:00,196450
wee.bnk48official,2018-10-01 01:00:00,191530
kate.bnk48official,2018-10-01 01:00:00,186000
jib.bnk48office,2018-10-01 01:00:00,179722
piam.bnk48office,2018-10-01 01:00:00,175700
bamboo.bnk48office,2018-10-01 01:00:00,161223
phukkhom.bnk48office,2018-10-01 01:00:00,156242
myyu.bnk48official,2018-10-01 01:00:00,149947
cake.bnk48official,2018-10-01 01:00:00,147097
new.bnk48official,2018-10-01 01:00:00,145194
view.bnk48official,2018-10-01 01:00:00,136799
natherine.bnk48official,2018-10-01 01:00:00,132581
minmin.bnk48office,2018-10-01 01:00:00,131182
aom.bnk48official,2018-10-01 01:00:00,130988
gygee.bnk48official,2018-10-01 01:00:00,130349
niky.bnk48office,2018-10-01 01:00:00,129883
pakwan.bnk48office,2018-10-01 01:00:00,129015
kheng.bnk48official,2018-10-01 01:00:00,128995
panda.bnk48official,2018-10-01 01:00:00,122785
khamin.bnk48official,2018-10-01 01:00:00,119851
stang.bnk48office,2018-10-01 01:00:00,118458
faii.bnk48official,2018-10-01 01:00:00,116910
deenee.bnk48official,2018-10-01 01:00:00,115352
oom.bnk48official,2018-10-01 01:00:00,112974
maira.bnk48official,2018-10-01 01:00:00,109783
fifa.bnk48official,2018-10-01 01:00:00,106971
nine.bnk48official,2018-10-01 01:00:00,94993
pun.bnk48official,2018-10-01 00:00:00,711563
cherprang.bnk48official,2018-10-01 00:00:00,556769
orn.bnk48official,2018-10-01 00:00:00,506487
jennis.bnk48official,2018-10-01 00:00:00,454701
mobile.bnk48official,2018-10-01 00:00:00,449032
music.bnk48official,2018-10-01 00:00:00,432798
noey.bnk48office,2018-10-01 00:00:00,399669
kaimook.bnk48official,2018-10-01 00:00:00,375923
kaew.bnk48official,2018-10-01 00:00:00,343383
jane.bnk48official,2018-10-01 00:00:00,320553
tarwaan.bnk48office,2018-10-01 00:00:00,305247
namneung.bnk48official,2018-10-01 00:00:00,298139
mewnich.bnk48official,2018-10-01 00:00:00,292871
satchan.bnk48official,2018-10-01 00:00:00,289826
pupe.bnk48official,2018-10-01 00:00:00,288282
namsai.bnk48official,2018-10-01 00:00:00,271290
june.bnk48office,2018-10-01 00:00:00,270070
miori.bnk48official,2018-10-01 00:00:00,244508
fond.bnk48office,2018-10-01 00:00:00,233299
jaa.bnk48official,2018-10-01 00:00:00,228267
rinaizuta.bnk48official,2018-10-01 00:00:00,225381
maysa.bnk48official,2018-10-01 00:00:00,218819
mind.bnk48official,2018-10-01 00:00:00,217778
korn.bnk48official,2018-10-01 00:00:00,210217
ratah.bnk48official,2018-10-01 00:00:00,205376
nink.bnk48official,2018-10-01 00:00:00,196423
wee.bnk48official,2018-10-01 00:00:00,191484
kate.bnk48official,2018-10-01 00:00:00,185953
jib.bnk48office,2018-10-01 00:00:00,179699
piam.bnk48office,2018-10-01 00:00:00,175684
bamboo.bnk48office,2018-10-01 00:00:00,161177
phukkhom.bnk48office,2018-10-01 00:00:00,156193
myyu.bnk48official,2018-10-01 00:00:00,149906
cake.bnk48official,2018-10-01 00:00:00,147050
new.bnk48official,2018-10-01 00:00:00,145151
view.bnk48official,2018-10-01 00:00:00,136752
natherine.bnk48official,2018-10-01 00:00:00,132532
minmin.bnk48office,2018-10-01 00:00:00,131127
aom.bnk48official,2018-10-01 00:00:00,130942
gygee.bnk48official,2018-10-01 00:00:00,130301
niky.bnk48office,2018-10-01 00:00:00,129849
pakwan.bnk48office,2018-10-01 00:00:00,128982
kheng.bnk48official,2018-10-01 00:00:00,128952
panda.bnk48official,2018-10-01 00:00:00,122759
khamin.bnk48official,2018-10-01 00:00:00,119814
stang.bnk48office,2018-10-01 00:00:00,118423
faii.bnk48official,2018-10-01 00:00:00,116869
deenee.bnk48official,2018-10-01 00:00:00,115319
oom.bnk48official,2018-10-01 00:00:00,112937
maira.bnk48official,2018-10-01 00:00:00,109753
fifa.bnk48official,2018-10-01 00:00:00,106945
nine.bnk48official,2018-10-01 00:00:00,94965
pun.bnk48official,2018-09-30 23:00:00,711503
cherprang.bnk48official,2018-09-30 23:00:00,556736
orn.bnk48official,2018-09-30 23:00:00,506441
jennis.bnk48official,2018-09-30 23:00:00,454663
mobile.bnk48official,2018-09-30 23:00:00,448994
music.bnk48official,2018-09-30 23:00:00,432769
noey.bnk48office,2018-09-30 23:00:00,399622
kaimook.bnk48official,2018-09-30 23:00:00,375898
kaew.bnk48official,2018-09-30 23:00:00,343345
jane.bnk48official,2018-09-30 23:00:00,320507
tarwaan.bnk48office,2018-09-30 23:00:00,305228
namneung.bnk48official,2018-09-30 23:00:00,298113
mewnich.bnk48official,2018-09-30 23:00:00,292827
satchan.bnk48official,2018-09-30 23:00:00,289817
pupe.bnk48official,2018-09-30 23:00:00,288260
namsai.bnk48official,2018-09-30 23:00:00,271245
june.bnk48office,2018-09-30 23:00:00,270025
miori.bnk48official,2018-09-30 23:00:00,244476
fond.bnk48office,2018-09-30 23:00:00,233273
jaa.bnk48official,2018-09-30 23:00:00,228245
rinaizuta.bnk48official,2018-09-30 23:00:00,225364
maysa.bnk48official,2018-09-30 23:00:00,218805
mind.bnk48official,2018-09-30 23:00:00,217758
korn.bnk48official,2018-09-30 23:00:00,210195
ratah.bnk48official,2018-09-30 23:00:00,205340
nink.bnk48official,2018-09-30 23:00:00,196403
wee.bnk48official,2018-09-30 23:00:00,191459
kate.bnk48official,2018-09-30 23:00:00,185933
jib.bnk48office,2018-09-30 23:00:00,179686
piam.bnk48office,2018-09-30 23:00:00,175671
bamboo.bnk48office,2018-09-30 23:00:00,161140
phukkhom.bnk48office,2018-09-30 23:00:00,156157
myyu.bnk48official,2018-09-30 23:00:00,149881
cake.bnk48official,2018-09-30 23:00:00,147023
new.bnk48official,2018-09-30 23:00:00,145112
view.bnk48official,2018-09-30 23:00:00,136722
natherine.bnk48official,2018-09-30 23:00:00,132499
minmin.bnk48office,2018-09-30 23:00:00,131092
aom.bnk48official,2018-09-30 23:00:00,130918
gygee.bnk48official,2018-09-30 23:00:00,130267
niky.bnk48office,2018-09-30 23:00:00,129830
pakwan.bnk48office,2018-09-30 23:00:00,128962
kheng.bnk48official,2018-09-30 23:00:00,128930
panda.bnk48official,2018-09-30 23:00:00,122737
khamin.bnk48official,2018-09-30 23:00:00,119800
stang.bnk48office,2018-09-30 23:00:00,118403
faii.bnk48official,2018-09-30 23:00:00,116846
deenee.bnk48official,2018-09-30 23:00:00,115294
oom.bnk48official,2018-09-30 23:00:00,112912
maira.bnk48official,2018-09-30 23:00:00,109728
fifa.bnk48official,2018-09-30 23:00:00,106928
nine.bnk48official,2018-09-30 23:00:00,94949
pun.bnk48official,2018-09-30 22:00:00,711480
cherprang.bnk48official,2018-09-30 22:00:00,556719
orn.bnk48official,2018-09-30 22:00:00,506425
jennis.bnk48official,2018-09-30 22:00:00,454650
mobile.bnk48official,2018-09-30 22:00:00,448978
